Epoch	DiscrimLoss	Time
0	7.617078	1.206528663635254
1	3.5332422	1.4640169143676758
2	3.4528022	1.716264247894287
3	4.2178826	1.9732108116149902
4	3.2752542	2.2667295932769775
5	4.1788135	2.5222599506378174
6	5.4202332	2.7760627269744873
7	5.044252	3.024719476699829
8	5.1497545	3.2756564617156982
9	5.1522923	3.5314152240753174
10	5.0440655	3.825117826461792
11	5.07339	4.116764783859253
12	5.1341476	4.4095635414123535
13	5.125606	4.698359251022339
14	5.078038	4.987303733825684
15	5.1011186	5.240454912185669
16	5.112238	5.495104789733887
17	5.147017	5.746478080749512
18	5.1574054	5.998440742492676
19	5.066215	6.250523567199707
20	5.0843687	6.545029878616333
21	5.0986824	6.792454242706299
22	5.154965	7.084011554718018
23	5.1177115	7.376482725143433
24	5.1552844	7.665917634963989
25	5.093186	7.9157280921936035
26	5.1553593	8.173107147216797
27	5.141833	8.42712664604187
28	5.1362047	8.680453777313232
29	5.1175437	8.935277462005615
30	5.132015	9.22695016860962
31	5.094371	9.483720064163208
32	5.1140547	9.734320163726807
33	5.119836	9.985891342163086
34	5.0893936	10.235249996185303
35	5.1274896	10.49418330192566
36	5.0423822	10.739881753921509
37	5.1541862	10.989765405654907
38	5.1366906	11.280601739883423
39	5.1319375	11.53619933128357
40	5.1366806	11.789567232131958
41	5.1257997	12.079676628112793
42	5.112113	12.372362613677979
43	5.198949	12.662116050720215
44	5.187993	12.908164262771606
45	5.136187	13.160523653030396
46	5.1243	13.416003465652466
47	5.1783414	13.667053699493408
48	5.111865	13.918960809707642
49	5.08438	14.177275896072388
50	5.1707826	14.431606769561768
51	5.1529613	14.681806325912476
52	5.133657	14.93053936958313
53	5.0688086	15.215355634689331
54	5.1450744	15.506937742233276
55	5.105637	15.757771730422974
56	5.135242	16.01704978942871
57	5.0950937	16.30839490890503
58	5.0906067	16.599024057388306
59	5.167456	16.88793706893921
60	5.1380258	17.161690950393677
61	5.081404	17.414130449295044
62	5.1236196	17.671281576156616
63	5.1352634	17.96452808380127
64	5.128398	18.252565145492554
65	5.035225	18.545557498931885
66	5.1358485	18.796568870544434
67	5.064928	19.050976276397705
68	5.157649	19.342158317565918
69	5.147707	19.59596538543701
70	5.0889587	19.857975006103516
71	5.005847	20.114907026290894
72	5.075986	20.408571004867554
73	5.0865965	20.68336820602417
74	5.04251	20.974029541015625
75	2.0436974	21.22760009765625
76	3.4312134	21.49104380607605
77	3.1422558	21.78216004371643
78	3.019629	22.03675603866577
79	2.8643765	22.295454740524292
80	3.5012274	22.591859340667725
81	3.4405732	22.88067317008972
82	3.1689053	23.133159399032593
83	3.2200785	23.39927864074707
84	3.2168646	23.668091297149658
85	3.4721727	23.96171283721924
86	3.363429	24.2158260345459
87	3.1290584	24.477935552597046
88	3.2239594	24.770752668380737
89	3.3926802	25.06098175048828
90	3.2882528	25.3605694770813
91	3.4248662	25.6148202419281
92	3.3935013	25.87286114692688
93	3.5365949	26.126129865646362
94	3.3278494	26.383856773376465
95	3.2077322	26.636566638946533
96	3.522069	26.909191846847534
97	3.2263665	27.1598641872406
98	3.4025526	27.42632555961609
99	3.435955	27.73699188232422
100	3.548215	28.047856092453003
101	3.7409434	28.347994565963745
102	3.619843	28.62334656715393
103	3.37809	28.929417610168457
104	3.564106	29.431989192962646
105	3.4434633	30.06864356994629
106	3.757618	30.581444025039673
107	3.6282883	30.870206594467163
108	3.2915792	31.186635971069336
109	5.977523	31.49832010269165
110	1.0159864	31.81628942489624
111	6.039702	32.089662313461304
112	3.8363674	32.37533688545227
113	4.025544	32.663630962371826
114	4.337389	32.948875427246094
115	6.2682595	33.20000958442688
116	1.5885181	33.45241904258728
117	3.3395107	33.703235149383545
118	3.5193925	33.98101592063904
119	3.3315678	34.27652907371521
120	3.4401617	34.544861793518066
121	3.5917892	34.85932469367981
122	3.5019262	35.154062032699585
123	3.0176418	35.43755292892456
124	3.5369601	35.69424319267273
125	3.3905854	36.00610589981079
126	3.4150445	36.32879686355591
127	9.169	36.58736705780029
128	3.6810803	36.905271768569946
129	3.678795	37.17077374458313
130	3.1993346	37.48400330543518
