Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	LossDC	DeltaLossDC	KL	Time
23	-0.09351206	0.68266076	1.0122174	-0.84138095	48.2	69.66893	179.0	0.0	1000.0	-4.0688562	6.108419	8.102582	-34.486374	120000	50177740000000.0	-50177740000000.0	61.375492	-44.860733	0.0	0.0	1.2520218e-05	263.31238627433777
24	0.6697119	1.2483752	2.7276838	-0.6343132	34.4	30.083883	77.0	0.0	1000.0	-1.9727	4.5191293	7.6397686	-20.024164	125000	449811640000.0	-449811640000.0	59.416706	-30.634312	0.0	0.0	2.4305427e-05	273.75367283821106
25	-0.09550116	0.74097115	1.0027372	-1.1608344	57.2	70.237885	151.0	0.0	1000.0	-2.7077363	1.86599	-0.8447417	-22.867373	130000	2.0637868e+16	-2.0637868e+16	68.64583	-48.453007	0.0	0.0	-1.1663318e-06	284.2586627006531
26	0.56739444	1.2922407	2.3139184	-0.82582015	27.8	35.26131	84.0	0.0	1000.0	-1.3526988	2.0282097	0.46705312	-20.133356	135000	10783404000.0	-10783404000.0	27.263544	-9.791658	0.0	0.0	8.078146e-06	294.9456434249878
27	-0.17953885	0.42926553	0.37837756	-0.804611	54.4	67.93703	157.0	0.0	1000.0	-3.3677738	5.5535774	-0.9731712	-25.841051	140000	7384866500000.0	-7384866500000.0	50.862694	-22.903215	0.0	0.0	1.4794243e-05	306.63456177711487
28	0.16177276	0.8087337	1.2891681	-1.0815128	100.2	77.839325	205.0	0.0	1000.0	-5.9986377	10.379064	2.0204916	-38.436428	145000	1.6554718e+17	-1.6554718e+17	143.11685	-82.70206	0.0	0.0	6.269455e-06	318.1032483577728
29	-0.19875851	0.98209006	1.0428852	-1.6050596	75.0	108.56519	279.0	0.0	1000.0	-6.1848907	4.008769	-0.46980298	-26.336634	150000	3.510588e+24	-3.510588e+24	137.83476	-104.00904	1.6919748	-0.40776193	-4.8344373e-06	329.03160977363586
30	-0.12367389	0.2766903	0.10481469	-0.5656137	88.8	177.6	444.0	0.0	1000.0	-4.362621	5.696809	6.440359	-27.281673	155000	4.3182345e+26	-4.3182345e+26	261.6569	-195.47758	0.0	0.0	7.2062015e-08	340.0174472332001
31	-0.15636404	0.5096578	0.62233627	-0.833507	109.2	111.309296	282.0	0.0	1000.0	-18.961437	10.318464	-0.43348497	-41.665707	160000	1.4812555e+24	-1.4812555e+24	437.8156	-346.5918	0.0	0.0	-1.4679313e-06	350.39593720436096
32	0.6258694	1.0895944	2.626313	-0.70534456	0.0	0.0	0.0	0.0	1000.0	-5.412929	5.496795	3.6447964	-33.979053	165000	0.19860898	-0.23393832	59.844143	-59.799526	0.0	0.0	3.0606031e-06	362.1022605895996
33	-0.23904386	0.30936754	0.19292006	-0.71417886	88.4	108.28407	224.0	0.0	1000.0	-0.07704584	0.42418876	1.1045816	-6.5061574	170000	3.7397194e+24	-3.7397194e+24	196.82509	-86.933586	0.0	0.0	2.0204186e-06	373.35809683799744
34	0.6730349	1.2024627	2.027582	-1.0136791	80.2	69.51662	171.0	0.0	1000.0	-10.491778	6.5302343	-2.6465783	-24.31496	175000	5.293291e+18	-5.293291e+18	154.99493	-66.42864	0.0	0.0	-2.6180505e-06	385.0161693096161
35	0.39932072	0.44742742	1.1399429	-0.2130898	29.2	43.443756	112.0	0.0	1000.0	-3.9376051	0.5321814	-3.5518079	-7.496272	180000	1098929860000000.0	-1098929860000000.0	44.75333	-6.7081146	0.0	0.0	-3.0470967e-06	395.66265416145325
36	-0.20262775	0.3219138	0.21624368	-0.71180546	29.8	59.101265	148.0	0.0	1000.0	-2.4564044	2.3560257	-1.6278309	-17.050186	185000	6.502737e+18	-6.502737e+18	57.37065	-16.0414	0.0	0.0	9.335995e-07	406.2003755569458
37	0.13531335	0.41884437	0.67522395	-0.39640933	21.2	42.4	106.0	0.0	1000.0	-3.1394358	1.6945063	-1.1811237	-6.131858	190000	6.191506e+16	-6.191506e+16	42.087337	-8.028183	0.0	0.0	-8.417368e-08	416.8903799057007
38	-0.057694457	0.7487278	1.4170837	-0.5804249	53.8	47.17372	137.0	0.0	1000.0	-1.5706936	0.94167477	-0.8687005	-5.2995124	195000	1.0224568e+21	-1.0224568e+21	94.372955	-9.651344	0.0	0.0	8.830464e-06	427.4887104034424
39	0.21332891	1.1309092	1.5032917	-1.3448483	33.2	42.583565	103.0	0.0	1000.0	-4.033706	0.33915758	-3.9225652	-7.736068	200000	1106480700000000.0	-1106480700000000.0	36.647655	-6.0206814	1.2643404	-0.4668678	1.0035395e-06	438.43961548805237
40	0.9225464	1.3601563	2.4790103	-1.4719584	49.6	60.002003	157.0	0.0	1000.0	-2.3115313	0.68522424	-1.9252677	-4.9994154	205000	1452159400000000.0	-1452159400000000.0	61.491123	-8.215668	0.0	0.0	-1.3659e-07	449.389365196228
41	0.05698353	0.8543091	1.1466955	-1.0674825	96.4	140.2492	371.0	0.0	1000.0	-3.3815153	0.81853735	-2.7333581	-4.9755974	210000	1.0758602e+26	-1.0758602e+26	214.68463	-46.390213	0.0	0.0	-4.1977287e-06	459.9371635913849
42	-0.4687391	0.3650017	0.14849155	-0.94818187	74.4	99.899155	264.0	0.0	1000.0	-6.6615896	0.74391454	-6.0170517	-10.512344	215000	1.5923113e+26	-1.5923113e+26	162.57892	-24.33963	0.0	0.0	7.2419645e-08	470.600702047348
43	0.28843454	0.78097177	1.5113323	-0.613643	50.0	62.798088	147.0	0.0	1000.0	-4.3679113	0.34289423	-4.1255417	-6.7747602	220000	2.277342e+18	-2.277342e+18	73.60037	-19.39109	0.0	0.0	2.0253658e-08	481.12364172935486
44	-0.22651954	0.40362933	0.18197998	-0.9773976	50.4	82.27175	212.0	0.0	1000.0	-3.8188868	4.2870245	1.1261742	-22.454174	225000	6.898005e+18	-6.898005e+18	72.815025	-47.635433	0.0	0.0	1.4068842e-06	491.69365096092224
45	0.24790391	0.8953637	1.5953271	-0.81015825	142.6	120.88606	296.0	0.0	1000.0	-2.588776	3.0335503	1.3297579	-23.299385	230000	8.760803e+27	-8.760803e+27	329.4499	-185.83578	0.0	0.0	-3.7235023e-07	502.4621572494507
46	-0.19999671	0.48629436	0.45085692	-0.9488998	86.6	84.88957	224.0	0.0	1000.0	-12.385124	7.5412216	-1.8729323	-34.168594	235000	3.99828e+27	-3.99828e+27	248.26468	-141.62183	0.0	0.0	-6.061709e-06	513.0081753730774
47	0.91375005	0.90878475	2.1027029	-0.5712225	58.2	114.90588	288.0	0.0	1000.0	-4.161527	3.5203831	-2.2638495	-26.127666	240000	2.9085185e+28	-2.9085185e+28	215.60014	-87.11975	0.0	0.0	-4.0237904e-07	523.6363706588745
48	0.97640336	2.4624195	5.859904	-0.71501887	53.4	48.615223	140.0	0.0	1000.0	-5.49163	4.5920925	-1.2109506	-24.852983	245000	140334650000000.0	-140334650000000.0	67.428055	-30.753033	0.0	0.0	-3.5405159e-09	535.2141618728638
49	-0.37482375	0.3085057	-0.0798249	-0.9688572	64.0	106.929886	275.0	0.0	1000.0	-3.3009093	4.2596135	0.39133096	-26.276047	250000	4.3949045e+25	-4.3949045e+25	147.31169	-70.65973	0.8380516	-0.31852633	3.6001206e-09	547.3098125457764
50	-0.21300378	0.7340617	1.1395266	-1.094866	73.0	71.933304	190.0	0.0	1000.0	-4.8740196	6.9110003	0.18794763	-35.61851	255000	2.4569467e+20	-2.4569467e+20	95.21707	-49.59427	0.0	0.0	-1.5807151e-08	559.5747485160828
51	1.1129161	1.0636168	2.2466874	-0.19661373	33.2	28.687279	68.0	0.0	1000.0	-6.1201224	5.5549374	-0.09816462	-28.857492	260000	2817787700000.0	-2817787700000.0	68.763466	-39.154335	0.0	0.0	-2.4318456e-06	571.026522397995
52	-0.45536345	0.41050076	0.04883071	-1.178146	33.4	44.206787	110.0	0.0	1000.0	-4.549162	4.913359	-0.27951795	-31.026299	265000	1.1139138e+20	-1.1139138e+20	65.01363	-35.522537	0.0	0.0	3.3378602e-09	581.5484132766724
53	0.062818244	0.6896211	1.3072088	-0.7364883	62.6	67.70997	154.0	0.0	1000.0	-3.3338606	5.3372335	1.4400812	-39.82518	270000	1.0132898e+19	-1.0132898e+19	80.75891	-49.872627	0.0	0.0	6.246567e-09	591.996087551117
54	-0.014186516	0.18383363	0.20600505	-0.2611482	96.6	175.28674	446.0	0.0	1000.0	-6.861766	8.201237	-0.19294679	-35.402576	275000	4.398121e+30	-4.398121e+30	468.36804	-287.94675	0.0	0.0	-3.3974648e-09	602.8524906635284
55	-0.04663703	0.45994037	0.6303246	-0.5738261	101.4	112.5515	308.0	0.0	1000.0	-7.9095592	3.4305503	2.9484546	-18.940254	280000	3.9867685e+27	-3.9867685e+27	251.5405	-134.98486	0.0	0.0	4.133463e-07	613.3195495605469
56	0.47127852	1.1522716	1.9745505	-0.87368184	14.8	27.643444	70.0	0.0	1000.0	-6.3440127	4.2585306	-0.95494956	-20.408836	285000	3962096400.0	-3962096400.0	55.821507	-41.321262	0.0	0.0	1.2265921e-06	623.8029673099518
57	0.08784576	1.2213789	2.487276	-0.73709047	12.0	24.0	60.0	0.0	1000.0	-1.2256824	0.45900673	-0.02649784	-7.6411343	290000	14799120000000.0	-14799120000000.0	19.560318	-1.0867443	0.0	0.0	2.2382499e-06	634.3149311542511
58	0.08747385	0.40237832	0.6581541	-0.39297003	0.0	0.0	0.0	0.0	1000.0	-1.0103091	0.5034956	0.8621661	-3.4435794	295000	0.16474728	-0.18654028	1.2810938	-1.2670614	0.0	0.0	3.9696695e-09	644.8639719486237
59	-0.03868555	0.8651982	1.5209817	-0.78094256	83.4	98.48777	251.0	0.0	1000.0	0.030704053	0.16009355	1.3721931	-2.2776854	300000	1.7419332e+23	-1.7419332e+23	188.3289	-42.012756	0.5461652	-0.12419891	-2.7411222e-06	655.3981075286865
60	-0.22138543	0.62260425	0.81473404	-1.1333436	72.4	130.78317	333.0	0.0	1000.0	-5.7544494	0.74980086	-4.8537908	-6.7805634	305000	8.646999e+24	-8.646999e+24	164.1375	-69.99475	0.0	0.0	-2.4747848e-08	666.0929410457611
61	0.014995694	0.3862442	0.61839443	-0.5381227	3.2	3.9698868	9.0	0.0	1000.0	-3.5905151	2.8679204	-1.6160123	-22.879805	310000	0.9733418	-0.9614509	19.102552	-18.347504	0.0	0.0	2.7894973e-09	676.8910655975342
62	0.5733269	0.59406096	1.5069792	-0.03922175	75.6	65.6128	159.0	0.0	1000.0	-0.26624325	0.19733027	-0.018269837	-6.6208434	315000	1.8187163e+18	-1.8187163e+18	138.12521	-70.096756	0.0	0.0	-5.757809e-09	687.4753677845001
63	0.20016448	0.8553645	1.185941	-1.1258885	97.4	87.529655	202.0	0.0	1000.0	-6.103803	3.6037078	-1.9505327	-19.795053	320000	1413180900000000.0	-1413180900000000.0	70.94213	-40.769157	0.0	0.0	9.918213e-09	697.9804074764252
64	0.2062622	0.7057125	1.5208491	-0.43467757	15.8	26.445415	68.0	0.0	1000.0	-3.9515524	4.3713174	1.2517099	-19.428696	325000	2538402200000.0	-2538402200000.0	47.114017	-30.71449	0.0	0.0	4.4584274e-09	708.2913167476654
65	0.15776993	0.8818901	1.6354753	-0.8094727	91.2	79.486855	225.0	0.0	1000.0	-1.7384112	1.0996064	-0.45677656	-6.3412266	330000	1.1267067e+26	-1.1267067e+26	161.05122	-97.491104	0.0	0.0	1.218319e-08	718.7432513237
66	-0.026613617	0.5429241	0.81193584	-0.71978116	43.4	80.93356	205.0	0.0	1000.0	-5.464635	4.8187075	-2.3296273	-30.84333	335000	5.2689347e+25	-5.2689347e+25	162.72311	-45.7062	0.0	0.0	1.3232231e-09	729.2616832256317
67	-0.007175052	0.6613314	0.8746549	-1.0515752	77.4	82.01609	217.0	0.0	1000.0	-3.9069629	0.9822663	-2.9724855	-14.226447	340000	2.3035557e+20	-2.3035557e+20	128.10774	-44.731674	0.0	0.0	-2.193451e-09	739.8222658634186
68	-0.53672653	0.43767083	-0.082489066	-1.1042079	74.0	113.3349	296.0	0.0	1000.0	-5.6559534	3.8136108	-1.282902	-26.269506	345000	2.7366052e+27	-2.7366052e+27	168.79549	-74.80009	0.0	0.0	5.38826e-09	750.6390902996063
69	0.23612037	1.3390993	2.9015083	-0.63841087	149.8	122.83387	265.0	0.0	1000.0	-1.957629	2.8786433	8.065062	-23.790482	350000	1.7863936e+29	-1.7863936e+29	420.297	-215.28262	0.42594406	-0.03898868	-4.1723253e-10	761.2707374095917
70	-0.15059039	0.853506	1.1356958	-1.389354	126.4	185.10387	491.0	0.0	1000.0	-20.535328	8.5273	-1.8813518	-50.02845	355000	3.7517537e+27	-3.7517537e+27	397.3805	-354.7966	0.0	0.0	5.7935714e-09	772.3713912963867
71	-0.6374857	0.5888889	0.33453697	-1.2919014	101.4	88.47508	225.0	0.0	1000.0	-8.0615635	12.194354	26.289692	-42.115944	360000	7.132792e+29	-7.132792e+29	335.6126	-227.15788	0.0	0.0	3.516674e-09	782.8155403137207
