Epoch	EpochBatchSize	VALORLoss	PolicyLoss	ContextLoss	Time
0	100	12828.699	6691.247	1.917236	2.093141794204712
1	100	47997.496	751.0164	63.91005	3.817258596420288
2	100	6911.825	1476.0918	4.682517	5.493248701095581
3	100	9126.87	510.33136	17.884205	7.185441255569458
4	100	782.1467	387.45462	2.0186796	9.021638631820679
5	100	8030.589	478.85077	16.770546	10.706851720809937
6	100	6970.4907	1632.2014	4.270607	12.397957563400269
7	100	1610.7477	1182.4796	1.362178	14.069793701171875
8	100	8820.378	1616.2465	5.4573226	15.871193170547485
9	100	1685.529	837.7576	2.011953	18.50166130065918
10	100	7813.6484	816.4725	9.570008	20.349873304367065
11	100	748.74994	1504.6783	0.49761462	22.07499361038208
12	100	255.2331	1543.1594	0.16539645	23.76317048072815
13	100	115.99477	1788.1866	0.06486726	25.64702868461609
14	100	5700.493	703.5002	8.1030445	28.582712411880493
